tab 	er_expeditions
expedition_description	er_expedition_name	expedition_box_lon_min	expedition_box_lon_max	er_citation_names	expedition_box_lat_max	expedition_box_lat_min
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	Botswana 2012	25.00	27.50	This study	-22.0	-25.0
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
224.60	This study	Dolerite	Kgale Peak Sill	PW1-1	pmag core	Sill	134.40	Botswana	Botswana 2012	-24.6878	-19	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-10	pmag core	Sill	204.60	Botswana	Botswana 2012	-24.6878	-37	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-11	pmag core	Sill	173.90	Botswana	Botswana 2012	-24.6878	-55	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-12	pmag core	Sill	172.80	Botswana	Botswana 2012	-24.6878	-44	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-13	pmag core	Sill	202.50	Botswana	Botswana 2012	-24.6878	-72	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-14	pmag core	Sill	235.30	Botswana	Botswana 2012	-24.6878	-60	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-2	pmag core	Sill	129.00	Botswana	Botswana 2012	-24.6878	-17	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-3	pmag core	Sill	196.50	Botswana	Botswana 2012	-24.6878	-41	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-4	pmag core	Sill	196.30	Botswana	Botswana 2012	-24.6878	-37	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-5	pmag core	Sill	163.00	Botswana	Botswana 2012	-24.6878	-33	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-6	pmag core	Sill	162.50	Botswana	Botswana 2012	-24.6878	-35	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-7	pmag core	Sill	197.10	Botswana	Botswana 2012	-24.6878	-28	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-8	pmag core	Sill	190.80	Botswana	Botswana 2012	-24.6878	-33	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW1-9	pmag core	Sill	206.90	Botswana	Botswana 2012	-24.6878	-34	6	25.86	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-1	pmag core	Sill	235.60	Botswana	Botswana 2012	-24.4297	-19	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-10	pmag core	Sill	18.50	Botswana	Botswana 2012	-24.4297	-20	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-11	pmag core	Sill	240.80	Botswana	Botswana 2012	-24.4297	-11	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-12	pmag core	Sill	242.00	Botswana	Botswana 2012	-24.4297	-11	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-13	pmag core	Sill	217.30	Botswana	Botswana 2012	-24.4297	-16	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-2	pmag core	Sill	239.80	Botswana	Botswana 2012	-24.4297	-17	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-3	pmag core	Sill	210.30	Botswana	Botswana 2012	-24.4297	-27	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-4	pmag core	Sill	192.50	Botswana	Botswana 2012	-24.4297	-23	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-5	pmag core	Sill	210.70	Botswana	Botswana 2012	-24.4297	-27	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-6	pmag core	Sill	223.20	Botswana	Botswana 2012	-24.4297	-41	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-7	pmag core	Sill	218.50	Botswana	Botswana 2012	-24.4297	-42	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-8	pmag core	Sill	68.00	Botswana	Botswana 2012	-24.4297	-12	7	25.58	Intrusive
330.03	This study	Dolerite	Rapitsane Sill	PW10-9	pmag core	Sill	103.90	Botswana	Botswana 2012	-24.4297	-11	7	25.58	Intrusive
281.16	This study	Dolerite	Suping Sill	PW11-1	pmag core	Sill	107.80	Botswana	Botswana 2012	-24.3277	-21	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW11-10	pmag core	Sill	11.60	Botswana	Botswana 2012	-24.3277	-25	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW11-11	pmag core	Sill	35.50	Botswana	Botswana 2012	-24.3277	-19	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW11-12	pmag core	Sill	5.40	Botswana	Botswana 2012	-24.3277	-19	10	25.53	Intrusive
281.16	This study	Dolerite	Suping Sill	PW11-2	pmag core	Sill	108.10	Botswana	Botswana 2012	-24.3277	-23	10	25.53	Intrusive
